PDB,pdb,ud,Hemetyp,Em_lit,ligup,ligdown,Elektrode,ax_qn,ax_ql,ax_qn_r,ax_ql_r,ligup_r,ligdown_r,Kategorie,HM,*_HIS/HIS,B_-/HIS,C_His/Met,Kategorie2,du ,uu ,ud ,dd 
2OYY,2OYY,uu,B,-540.0,TYR,-,NHE,TYR/-,-/TYR,other,other,other,-,[],False,0,0,0,other,0,1,0,0
2V08,2V08,du,C,325.0,MET,HIS,SHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,1,0,0,0
3CCX,3CCX,uu,B,-181.1,-,HIS,SHE,-/HIS,-/HIS,-/HIS,-/HIS,-,HIS,['B_-/HIS'],False,0,1,0,B_-/HIS,0,1,0,0
3CU4,3CU4,uu,C,125.0,MET,HIS,NHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,0,1,0,0
451C,451C,uu,C,270.0,MET,HIS,SCE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,0,1,0,0
5MCS,5MCS,uu,C,125.0,MET,HIS,NHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,0,1,0,0
1C2R,1C2R,du,C,350.0,MET,HIS,SHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,1,0,0,0
1CNO,1CNO,du,C,250.0,MET,HIS,NHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,1,0,0,0
2PCB,2PCB,du,B,260.0,MET,HIS,SHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,[],False,0,0,0,other,1,0,0,0
1CPO,1CPO,du,B,-138.0,CYS,-,NHE,CYS/-,-/CYS,other,other,other,-,[],False,0,0,0,other,1,0,0,0
1CRC,1CRC,du,C,260.0,MET,HIS,SHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,1,0,0,0
1DJ1,1DJ1,uu,B,-172.6,-,HIS,SHE,-/HIS,-/HIS,-/HIS,-/HIS,-,HIS,['B_-/HIS'],False,0,1,0,B_-/HIS,0,1,0,0
1F1C,1F1C,du,C,-260.0,HIS,HIS,NHE,HIS/HIS,HIS/HIS,HIS/HIS,HIS/HIS,HIS,HIS,['*_HIS/HIS'],False,1,0,0,*_HIS/HIS,1,0,0,0
1FJ0,1FJ0,du,C,350.0,MET,HIS,NHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,1,0,0,0
1GU2,1GU2,ud,C,-60.0,HIS,HIS,NHE,HIS/HIS,HIS/HIS,HIS/HIS,HIS/HIS,HIS,HIS,['*_HIS/HIS'],False,1,0,0,*_HIS/HIS,0,0,1,0
1IQC_HISMET,1IQC_HISMET,du,C,450.0,MET,HIS,NHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,1,0,0,0
1IQC_HIS,1IQC_HIS,du,C,-260.0,-,HIS,NHE,-/HIS,-/HIS,-/HIS,-/HIS,-,HIS,[],False,0,0,0,other,1,0,0,0
1NSI,1NSI,uu,B,-347.0,ARG,CYS,NHE,ARG/CYS,ARG/CYS,other,other,other,other,[],False,0,0,0,other,0,1,0,0
1QPU,1QPU,uu,B,168.0,MET,HIS,SHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,[],False,0,0,0,other,0,1,0,0
1YNR,1YNR,uu,C,236.0,MET,HIS,SCE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,0,1,0,0
2CE0,2CE0,du,C,86.0,MET,HIS,SHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,1,0,0,0
