index,Fe_N_C1_C2,Fe_N_C1_C3,C2_C1_C3_C3,C2_C1_N_Fe,C2_C1_N_C1,C1_C2_C1_N,C1_C2_C1_C3,C1_N_Fe_N,C1_N_C1_C2,C3_C1_C2_C1,C3_C1_N_Fe,C3_C3_C1_C2,N_Fe_N_C1,N_C1_C2_C1
1eue,1.0854031783323377,-179.14628552685124,-178.6851542373343,-1.3236146796566979,178.6760615166465,-1.7008437144528374,176.4977746418585,0.7138603011025907,178.6760615166465,179.25844014165298,-179.14628552685124,-178.6851542373343,-179.58803871062028,-0.9985306861212712
6u97,9.263089442196165,-170.2731310472687,177.9148120278204,-4.913320445314678,-179.8753730312711,-9.157125115290489,175.31022332088867,-7.866239268123093,-179.8753730312711,179.5327369136921,-170.2731310472687,177.9148120278204,-178.44833563197307,0.08648375364605322
1cce,-17.260570216888162,161.35093537255273,-174.0615366203941,16.535767031926575,172.88370905075791,7.4057820048939025,-170.778444645316,15.676132164157252,172.88370905075791,-173.93759321091144,161.35093537255273,-174.0615366203941,168.84771309954883,4.473282267364564
451c,1.6704824214308829,-179.56091618984996,176.28328729564618,3.5620860259163805,-179.0613584490707,-2.822533950390381,175.64086266533198,-2.2372327625565593,-179.0613584490707,-177.35088897625238,-179.56091618984996,176.28328729564618,-175.78298015855202,1.2331395277532495
1cyo,4.9193410585538695,-171.281118227795,176.898014317775,-5.326656358283062,-179.53344408272343,-6.295990663528261,177.00030638265582,-1.2955210645217965,-179.53344408272343,173.83108525865367,-171.281118227795,176.898014317775,178.5232841773396,-1.7159653056077888
1aw3,1.337114853860932,-179.87159936118016,178.89369328118016,0.1832928055088971,-179.90531091399777,-2.5474590063389715,175.6330456448511,-0.10389225774140648,-179.90531091399777,-179.01381403170953,-179.87159936118016,178.89369328118016,178.50937014664683,-0.4146727750099797
1ls9,-8.692100977066172,172.6655151734207,175.92079599859193,10.2906488528579,-173.09650707560544,2.5833093443889634,-173.65387233343347,176.34872627733074,-173.09650707560544,-4.150442158295082,172.6655151734207,175.92079599859193,2.4563177398718867,-5.797831771728562
1b5a,-0.16951880817542114,179.27892857489513,-179.71555020759308,0.4472774870706073,179.86014654560313,1.5789921491537156,-179.7201919829299,0.2300531668944517,179.86014654560313,179.90298837514007,179.27892857489513,-179.71555020759308,178.20109475150537,-0.7395835825781757
1a6m,-5.184456955548899,-176.7547025047869,-179.38069955574923,-4.387366585573202,-178.01744425307723,0.5893171897076229,179.2865784887529,175.01792473460162,-178.01744425307723,1.5498129154854747,-176.7547025047869,-179.38069955574923,2.8433787968424435,-8.735247438192342
1cxc,-9.88834095470235,176.89967197808792,175.80141850022525,6.249375659027134,-176.52179371158104,2.524505098143347,-177.03812662774982,177.19533135329903,-176.52179371158104,3.0176033251712386,176.89967197808792,175.80141850022525,4.105785372221327,-5.182608569932979
1cck,8.17803882804975,-164.97433595317372,-177.75831638951146,-14.248893152227906,176.49312230841682,-5.059496091880729,176.81168688066467,178.63810202685337,176.49312230841682,7.52563217686378,-164.97433595317372,-177.75831638951146,-3.6167772673465386,-1.0351254953293445
2hpd,-11.540724511489254,177.9858429316967,169.92814135013154,9.551179694357844,-171.06826600325053,2.304397520486945,-176.65087606073254,174.16541020238608,-171.06826600325053,2.3642247809865458,177.9858429316967,169.92814135013154,3.0657528035747528,-9.399864736399193
1ctj,-8.578098957193552,173.7554239407113,173.6938216107468,8.902857512541466,-174.25939879237492,2.319671938863338,-176.7848839797169,174.9931904510479,-174.25939879237492,-6.554435969201866,173.7554239407113,173.6938216107468,2.9067178346622513,-9.382426704334971
4mu8,-12.715627490150965,176.51305856021386,178.91773282019417,11.207048532421933,174.94438523220455,4.115468616801627,-171.20557463231572,-178.48502176079262,174.94438523220455,18.003229658575012,176.51305856021386,178.91773282019412,16.250664784200193,6.685109580268767
1jp6,-1.5845246498936154,-179.55162502045494,-179.9076375994516,-0.27019574226754123,-179.87186748114357,0.3976909374528347,-179.6356708739226,179.3884765752341,-179.87186748114357,1.4175701864546535,-179.55162502045494,-179.9076375994516,0.5587656272627229,-1.0650051255156383
1giw,-4.57942353095207,-179.88433807396225,179.02205995114758,0.9361851504794132,-178.709604678586,3.763734235189438,-176.50789890112995,178.7318012076906,-178.709604678586,1.9447191269684845,-179.88433807396225,179.02205995114758,-1.0379036680448084,-3.892376803777045
1h9x,-8.076722424884409,179.17074033316436,179.31239674601932,2.026564658777031,-178.9532549267459,2.9252652361782063,-179.97182199394155,176.61514023377353,-178.9532549267459,2.523098640680546,179.17074033316436,179.31239674601932,4.624811139333199,-6.309247107742928
1h9x,-11.081188899607897,-179.74735038918578,179.67050012857842,0.6318588193769523,-178.81538278266248,2.842675591915425,178.2972555296983,174.745094775485,-178.81538278266248,4.684513283332059,-179.74735038918578,179.67050012857842,6.115479556496138,-9.09310918528507
1a6g,-1.794899648977946,-175.2786111862876,-179.71117817638878,-4.333546158038283,-179.32953448804528,-1.4312283356758162,178.06743065003403,176.33363761861202,-179.32953448804528,2.7135904839154334,-175.2786111862876,-179.71117817638878,2.7212426719832425,-5.1125517768784885
1jdl,5.4659103053111675,-178.13163129989186,171.70371941160005,5.972919462825464,-172.16745159269368,-1.1253605796970885,179.36067499111854,-8.973382050304934,-172.16745159269368,-174.34867648287258,-178.13163129989186,171.70371941160005,-177.14437672679009,1.5928679046279908
1cmt,-7.176713385550998,171.7308799511479,-179.2389114022209,4.777244590510571,-178.10303195822976,5.463056132043397,-172.70081871135272,2.1075231919435717,-178.10303195822976,-174.2138340956033,171.7308799511479,-179.2389114022209,168.6171267837548,4.528955721655506
4mu8,-12.156211897284866,176.7748114397231,178.03331952802148,12.631182916231177,176.74984396558474,3.220186152799958,-169.40551376981625,-179.147190592064,176.74984396558474,17.062165642606494,176.7748114397231,178.03331952802148,14.609280470274895,6.03439505458783
1ccg,-14.210692318736706,164.74550380567106,178.3162368324139,15.716519996798336,-177.7699896964514,3.0532308067715097,-174.51494411841628,14.654815450510846,-177.7699896964514,-175.1589277283294,164.74550380567106,178.3162368324139,171.8506142590263,3.627517097098
1c75,-10.246922016496876,-179.5380854924191,-179.42736181806004,-0.6061745022647659,-179.27840480307086,3.3349500904366445,-178.31919032007553,174.3934688918884,-179.27840480307086,2.452342604547362,-179.5380854924191,-179.42736181806004,5.612969210495943,-10.720107405080144
1eue,1.0607037409867426,-179.2555647943021,-178.64294516666283,-1.3314292300532564,178.35068325973234,-1.738881409302394,176.89182994661425,0.4329105283917639,178.35068325973234,179.64531086102778,-179.2555647943021,-178.64294516666283,-179.65525948699874,-0.7124640461184982
1cmq,-13.8762716387109,165.63370778246622,-175.05016136881352,9.099493864113445,176.0014146928236,9.77353395878773,-166.72662590935496,9.103018471776542,176.0014146928236,-175.01872820927915,165.63370778246622,-175.05016136881352,160.14416355013688,4.4069516845928645
